route,seed,detections,vlm_filtered
route_2416,seed_200,1017,780
route_2416,seed_201,1042,776
route_2416,seed_202,674,570
route_2416,seed_203,844,706
route_2416,seed_204,908,723
route_2416,seed_205,864,682
route_2416,seed_206,916,694
route_2416,seed_207,839,746
route_2416,seed_208,831,665
route_2416,seed_209,752,612
route_2416,seed_210,909,694
route_2416,seed_211,878,664
route_2416,seed_212,930,730
route_2416,seed_213,881,749
route_2416,seed_214,654,538
route_2416,seed_215,793,616
route_2416,seed_216,857,667
route_2416,seed_217,878,693
route_2416,seed_218,653,521
route_2416,seed_219,760,683
route_24211,seed_200,1353,1058
route_24211,seed_201,1386,1133
route_24211,seed_202,1556,1188
route_24211,seed_203,1327,1004
route_24211,seed_204,1441,1099
route_24211,seed_205,1429,1125
route_24211,seed_206,1480,1139
route_24211,seed_207,1312,1054
route_24211,seed_208,1450,1153
route_24211,seed_209,1447,1104
route_24211,seed_210,1456,1133
route_24211,seed_211,1307,1101
route_24211,seed_212,1339,1085
route_24211,seed_213,1261,1019
route_24211,seed_214,1391,1126
route_24211,seed_215,1564,1230
route_24211,seed_216,1287,1100
route_24211,seed_217,1440,1141
route_24211,seed_218,1460,1107
route_24211,seed_219,1485,1174
route_24258,seed_200,894,773
route_24258,seed_201,933,797
route_24258,seed_202,873,743
route_24258,seed_203,1002,827
route_24258,seed_204,847,688
route_24258,seed_205,813,732
route_24258,seed_206,950,816
route_24258,seed_207,944,798
route_24258,seed_208,866,740
route_24258,seed_209,932,817
route_24258,seed_210,976,808
route_24258,seed_211,892,782
route_24258,seed_212,892,766
route_24258,seed_213,897,754
route_24258,seed_214,944,781
route_24258,seed_215,1104,857
route_24258,seed_216,969,824
route_24258,seed_217,908,771
route_24258,seed_218,924,767
route_24258,seed_219,902,772
route_24759,seed_200,1715,1281
route_24759,seed_201,1442,1069
route_24759,seed_202,1620,1225
route_24759,seed_203,1578,1158
route_24759,seed_204,1661,1221
route_24759,seed_205,1424,1002
route_24759,seed_206,1454,1045
route_24759,seed_207,1400,1026
route_24759,seed_208,1568,1110
route_24759,seed_209,1416,1018
route_24759,seed_210,1521,1098
route_24759,seed_211,1571,1132
route_24759,seed_212,1267,961
route_24759,seed_213,1635,1140
route_24759,seed_214,1463,1095
route_24759,seed_215,1805,1267
route_24759,seed_216,1465,1067
route_24759,seed_217,1551,1119
route_24759,seed_218,1594,1175
route_24759,seed_219,1649,1193
route_25857,seed_200,1309,1142
route_25857,seed_201,1048,940
route_25857,seed_202,1154,1016
route_25857,seed_203,1140,1002
route_25857,seed_204,1076,949
route_25857,seed_205,1176,983
route_25857,seed_206,1008,918
route_25857,seed_207,980,872
route_25857,seed_208,1016,941
route_25857,seed_209,1106,976
route_25857,seed_210,1117,994
route_25857,seed_211,1021,900
route_25857,seed_212,1117,998
route_25857,seed_213,1051,968
route_25857,seed_214,1132,1015
route_25857,seed_215,1032,922
route_25857,seed_216,954,870
route_25857,seed_217,1024,963
route_25857,seed_218,972,904
route_25857,seed_219,1085,965
route_25863,seed_200,2900,1887
route_25863,seed_201,3137,1824
route_25863,seed_202,2590,1826
route_25863,seed_203,3266,1867
route_25863,seed_204,2851,1878
route_25863,seed_205,2098,1731
route_25863,seed_206,2277,1767
route_25863,seed_207,2104,1578
route_25863,seed_208,2496,1735
route_25863,seed_209,2130,1679
route_25863,seed_210,2788,1920
route_25863,seed_211,2339,1764
route_25863,seed_212,2092,1613
route_25863,seed_213,2395,1689
route_25863,seed_214,2145,1602
route_25863,seed_215,2431,1974
route_25863,seed_216,2547,1784
route_25863,seed_217,2601,1770
route_25863,seed_218,2434,1690
route_25863,seed_219,2661,1912
route_26408,seed_200,1114,830
route_26408,seed_201,1032,820
route_26408,seed_202,937,678
route_26408,seed_203,1065,783
route_26408,seed_204,1085,804
route_26408,seed_205,1032,779
route_26408,seed_206,894,658
route_26408,seed_207,918,694
route_26408,seed_208,1296,949
route_26408,seed_209,1064,803
route_26408,seed_210,1434,969
route_26408,seed_211,1141,829
route_26408,seed_212,907,679
route_26408,seed_213,776,548
route_26408,seed_214,1036,760
route_26408,seed_215,1014,795
route_26408,seed_216,1126,753
route_26408,seed_217,1028,796
route_26408,seed_218,825,589
route_26408,seed_219,1104,832
route_27494,seed_200,1171,721
route_27494,seed_201,1607,1005
route_27494,seed_202,1167,716
route_27494,seed_203,1330,788
route_27494,seed_204,1124,697
route_27494,seed_205,1152,739
route_27494,seed_206,1374,835
route_27494,seed_207,1541,967
route_27494,seed_208,1378,764
route_27494,seed_209,1246,749
route_27494,seed_210,1185,741
route_27494,seed_211,1925,1248
route_27494,seed_212,1323,751
route_27494,seed_213,1159,744
route_27494,seed_214,1122,702
route_27494,seed_215,1126,739
route_27494,seed_216,1701,1137
route_27494,seed_217,1582,1028
route_27494,seed_218,1129,731
route_27494,seed_219,1289,768
route_3100,seed_200,2839,1115
route_3100,seed_201,2626,1151
route_3100,seed_202,2930,1176
route_3100,seed_203,2478,1067
route_3100,seed_204,2526,1167
route_3100,seed_205,1915,935
route_3100,seed_206,2399,1004
route_3100,seed_207,1587,1028
route_3100,seed_208,2781,1145
route_3100,seed_209,2287,931
route_3100,seed_210,2350,983
route_3100,seed_211,2495,994
route_3100,seed_212,2398,1028
route_3100,seed_213,2299,1114
route_3100,seed_214,2254,944
route_3100,seed_215,2344,1196
route_3100,seed_216,2099,951
route_3100,seed_217,2086,1080
route_3100,seed_218,1857,851
route_3100,seed_219,1929,1016
route_3472,seed_200,671,601
route_3472,seed_201,783,678
route_3472,seed_202,580,556
route_3472,seed_203,583,528
route_3472,seed_204,730,646
route_3472,seed_205,567,524
route_3472,seed_206,544,488
route_3472,seed_207,686,622
route_3472,seed_208,518,468
route_3472,seed_209,626,576
route_3472,seed_210,466,424
route_3472,seed_211,634,581
route_3472,seed_212,633,573
route_3472,seed_213,735,632
route_3472,seed_214,669,609
route_3472,seed_215,544,492
route_3472,seed_216,631,586
route_3472,seed_217,725,652
route_3472,seed_218,506,450
route_3472,seed_219,727,638
